j,GM,Make,Model,Quantity,MarginalCost,Price,GPM,Weight,HP
1,0,Acura,Mdx,48033,33.5143959,40.571551,0.052631579,4539,300
2,0,Acura,Rdx,22265,28.9780803,32.197867,0.047619049,3924,240
3,0,Acura,Rl,4710,33.9298197,41.033133,0.047619049,4012,290
4,0,Acura,Tl,48585,25.9181799,32.131311,0.044000462,3638.738253,267.874982
5,0,Acura,Tsx,22304,22.6895453,26.321717,0.038630769,3230,205
6,0,Audi,Audi,93149,34.9379755,41.042195,0.045980908,4001.851979,249.9908212
7,0,Bmw,Bmw,279721,43.3776529,47.086281,0.045653716,3765.945547,262.8006776
8,1,Buick,Lacrosse,53745,19.0592774,22.288086,0.043671936,3635.336534,202.4672993
9,1,Buick,Lucerne,83851,21.170985,26.85665,0.046010889,3880.168787,207.1431706
10,1,Buick,Rainier,4846,26.4773232,29.419248,0.055877142,4446.741436,289.005778
11,1,Buick,Rendezvous,27517,18.9214208,22.134912,0.047619049,4096,196
12,1,Buick,Terraza,6284,21.7004703,27.444967,0.047619049,4431,240
13,1,Cadillac,Cts,52429,27.8410023,30.934447,0.047864158,3650.094566,240.7057163
14,1,Cadillac,Dts,46385,36.318482,41.46498,0.050000001,4009,292
15,1,Cadillac,Escalade,82902,50.1918524,56.879836,0.066250362,5785.214573,403
16,1,Cadillac,Srx,14902,34.5433031,39.492559,0.053486701,4251.648772,263.9766474
17,1,Cadillac,Sts,16034,40.8110625,45.345625,0.048603639,3884.624174,275.8602345
18,1,Chevrolet,Avalanche,75356,28.8341863,34.260207,0.058889832,5579.383287,315.6268114
19,1,Chevrolet,Aveo,65246,11.834506,12.03834,0.034446076,2531,103
20,1,Chevrolet,C1500,38348,30.683788,36.31532,0.058848649,5615.910504,320.3142798
21,1,Chevrolet,Cobalt,210459,11.2244732,13.582748,0.036832504,2770.146722,149.4220537
22,1,Chevrolet,Colorado,75634,14.721397,18.57933,0.050360847,3732.599256,215.6742206
23,1,Chevrolet,Equinox,77199,18.0497429,21.166381,0.046311576,3816.4816,185
24,1,Chevrolet,Hhr,2098,16.2101053,16.900117,0.03846154,3155,149
